2026-03-22 16:52:31.723 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:31.723 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:31.723 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
2026-03-22 16:52:31.723 | INFO     | backtest.engine:_execute_trades:285 | 2023-06-07: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:52:31.741 | INFO     | logger:log_backtest_progress:96 | 日期: 2023-06-13 | 总价值: 1,351,884.07 | 交易数量: 22
2026-03-22 16:52:31.991 | WARNING  | strategy.portfolio:select_etfs:37 | 聚类筛选结果不足，使用全池ETF
2026-03-22 16:52:31.996 | WARNING  | strategy.portfolio:select_etfs:37 | 聚类筛选结果不足，使用全池ETF
2026-03-22 16:52:32.000 | INFO     | strategy.portfolio:select_etfs:47 | ETF选择完成: 选中 3 个ETF: ['159915', '159949', '510300']
2026-03-22 16:52:32.000 | INFO     | __main__:strategy_function:96 | ETF选择完成: 选中 3 个ETF
2026-03-22 16:52:32.004 | INFO     | strategy.portfolio:select_etfs:47 | ETF选择完成: 选中 3 个ETF: ['159915', '159949', '510300']
2026-03-22 16:52:32.005 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:32.004 | INFO     | __main__:strategy_function:96 | ETF选择完成: 选中 3 个ETF
2026-03-22 16:52:32.005 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:32.005 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:32.006 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
2026-03-22 16:52:32.006 | INFO     | backtest.engine:_execute_trades:285 | 2023-06-14: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:52:32.009 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:32.010 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:32.010 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:32.010 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
2026-03-22 16:52:32.011 | INFO     | backtest.engine:_execute_trades:285 | 2021-12-08: 成功执行 0 笔交易，总价值: 0.00
2026-03-22 16:52:32.289 | WARNING  | strategy.portfolio:select_etfs:37 | 聚类筛选结果不足，使用全池ETF
2026-03-22 16:52:32.297 | INFO     | strategy.portfolio:select_etfs:47 | ETF选择完成: 选中 3 个ETF: ['159915', '159949', '510300']
2026-03-22 16:52:32.297 | INFO     | __main__:strategy_function:96 | ETF选择完成: 选中 3 个ETF
2026-03-22 16:52:32.303 | INFO     | strategy.portfolio:calculate_weights:78 | 权重计算完成: 3 个有效权重，总权重: 0.5273
2026-03-22 16:52:32.303 | INFO     | strategy.portfolio:rebalance_portfolio:113 | 调仓交易计算完成: 生成 3 个交易
2026-03-22 16:52:32.303 | INFO     | __main__:strategy_function:106 | 调仓计算完成: 生成 3 个交易
2026-03-22 16:52:32.304 | INFO     | strategy.portfolio:apply_trading_restrictions:161 | 交易限制应用完成: 剩余 0 个有效交易
