2026-03-22 16:48:05.010 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.039 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.068 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.089 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.120 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.142 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.161 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.192 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.213 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.237 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.259 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.281 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.302 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.326 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.345 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.364 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.383 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.406 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.425 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.444 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.468 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.494 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.514 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.533 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.553 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.579 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.608 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.633 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.657 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.681 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.714 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.740 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.762 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.790 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.820 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.848 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
2026-03-22 16:48:05.867 | ERROR    | __main__:strategy_function:115 | 策略执行错误: No module named 'scipy'
